CODIGO,AÑO,DIA,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV
2401519,1975,17,0,"18,6","0,2",0,"1,9",0,"0,6","0,1","19,6",2,0
2401519,1975,18,0,"2,2","0,5","0,1",0,0,"0,2","0,5","0,4",0,0
2401519,1975,19,0,0,"1,1","0,1","0,5","0,4","0,1",0,"12,5","7,4",0
2401519,1975,20,"0,1",0,"1,9",0,0,"0,4",0,"17,1","0,4","2,5",3
2401519,1975,21,0,"1,3","0,6","0,6",0,"8,8",0,"1,6",0,"3,7",2
2401519,1975,22,0,"0,7","0,5","1,7","0,9","1,1",0,0,"3,4","0,5",0
2401519,1975,23,0,"19,2",0,0,"0,9","0,6",0,"0,3",0,0,"0,1"
2401519,1975,24,0,"2,4","0,3",1,"0,6",0,0,0,0,"1,6","0,4"
2401519,1975,25,0,0,"11,6","2,4","0,2","3,3","0,2","1,8",0,0,"0,6"
2401519,1975,26,0,0,0,"6,7","1,7","3,2","1,3","1,4","2,6","9,5",0
